coinmarketcap,currency,github,website
https://coinmarketcap.com/currencies/joincoin/,joincoin,https://github.com/joincoin/joincoin,https://bitcointalk.org/index.php?topic=737405.0
https://coinmarketcap.com/currencies/blitzcash/,blitzcash,https://bitbucket.org/blitz-dev/blitz-public/src,http://blitz.cash
https://coinmarketcap.com/currencies/zcash/,zcash,https://github.com/zcash/zcash,https://z.cash/
https://coinmarketcap.com/currencies/ethbits/,ethbits,,https://www.ethbits.com/
https://coinmarketcap.com/currencies/adzcoin/,adzcoin,https://github.com/AdzCoin/adzcoin,https://adzcoin.org/
https://coinmarketcap.com/currencies/triangles/,triangles,https://github.com/wurstgelee/triangles,https://www.triangles.network/
https://coinmarketcap.com/currencies/kayicoin/,kayicoin,,https://www.xn--kay-lua.net/
https://coinmarketcap.com/currencies/safe-exchange-coin/,safe-exchange-coin,,http://safex.io/
https://coinmarketcap.com/currencies/iota/,iota,https://github.com/iotaledger,https://iota.org/
https://coinmarketcap.com/currencies/paycon/,paycon,https://github.com/cryptotech/PayCon,https://paycon.pw/
https://coinmarketcap.com/currencies/wink/,wink,https://github.com/winkchain/wink,
https://coinmarketcap.com/currencies/applecoin-apw/,applecoin-apw,,http://apcoin.co/
https://coinmarketcap.com/currencies/dibcoin/,dibcoin,,https://dibcoin.us/
https://coinmarketcap.com/currencies/fincoin/,fincoin,https://github.com/Fincoinltd/FNC,http://fincoin.co/
https://coinmarketcap.com/currencies/altcoin-alt/,altcoin-alt,,http://altcoinmarketcap.com/
https://coinmarketcap.com/currencies/ebit/,ebit,,https://www.ebit.trade/
https://coinmarketcap.com/currencies/dash/,dash,https://github.com/dashpay/dash,https://www.dash.org/
https://coinmarketcap.com/currencies/quotient/,quotient,https://github.com/CedricProfit/Quotient,
https://coinmarketcap.com/currencies/memetic/,memetic,https://github.com/pepeteam/pepecoin,https://memetic.ai/
https://coinmarketcap.com/currencies/ammo-rewards/,ammo-rewards,https://github.com/satellitedog/nova,http://www.ammorewards.net/
https://coinmarketcap.com/currencies/clubcoin/,clubcoin,https://github.com/BitClubDev/ClubCoin,http://clubcoin.co/
https://coinmarketcap.com/currencies/quantum-resistant-ledger/,quantum-resistant-ledger,https://github.com/theQRL,https://theqrl.org/
https://coinmarketcap.com/currencies/neblio/,neblio,https://github.com/NeblioTeam,https://nebl.io/
https://coinmarketcap.com/currencies/ubiq/,ubiq,https://github.com/ubiq/go-ubiq,http://ubiqsmart.com/
https://coinmarketcap.com/currencies/adtoken/,adtoken,,https://adtoken.com/
https://coinmarketcap.com/currencies/gulden/,gulden,,https://gulden.com/
https://coinmarketcap.com/currencies/bitasean/,bitasean,https://github.com/ByteCodeTeam/,https://www.bitasean.org/
https://coinmarketcap.com/currencies/bitpark-coin/,bitpark-coin,,https://bitpark.net/
https://coinmarketcap.com/currencies/shorty/,shorty,,http://shortycool.site/
https://coinmarketcap.com/currencies/skincoin/,skincoin,,https://skincoin.org/
https://coinmarketcap.com/currencies/cobinhood/,cobinhood,https://github.com/cobinhood/cobinhood-api-public,https://www.cobinhood.com/
https://coinmarketcap.com/currencies/counterparty/,counterparty,https://github.com/CounterpartyXCP,http://counterparty.io/
https://coinmarketcap.com/currencies/gambit/,gambit,https://github.com/collincrypto/gambitcrypto,http://www.gambitcrypto.com
https://coinmarketcap.com/currencies/domraider/,domraider,,https://www.domraider.io/
https://coinmarketcap.com/currencies/clams/,clams,https://github.com/dooglus/bitaddress.org/,http://clamcoin.org/
https://coinmarketcap.com/currencies/evotion/,evotion,,http://evotion.info/
https://coinmarketcap.com/currencies/colossuscoin-v2/,colossuscoin-v2,https://github.com/Sudo23/ColossusCoin2,http://colossuscoin.org
https://coinmarketcap.com/currencies/bitzeny/,bitzeny,https://github.com/bitzeny/bitzeny,http://bitzeny.org/
https://coinmarketcap.com/currencies/bitcoincashscrypt/,bitcoincashscrypt,,
https://coinmarketcap.com/currencies/teslacoilcoin/,teslacoilcoin,,http://teslacoilcoin.org/
https://coinmarketcap.com/currencies/c-bit/,c-bit,https://github.com/Infernoman/C-Bit,http://c-bit.me/
https://coinmarketcap.com/currencies/teracoin/,teracoin,,http://tera.hosuco.co.kr/
https://coinmarketcap.com/currencies/cheapcoin/,cheapcoin,https://github.com/cheapandcloud/chain,
https://coinmarketcap.com/currencies/global-tour-coin/,global-tour-coin,,http://www.gtccoinclub.com/
https://coinmarketcap.com/currencies/rawcoin2/,rawcoin2,https://github.com/rawcoin-project,http://rawcoin.co/
https://coinmarketcap.com/currencies/marijuanacoin/,marijuanacoin,,https://marijuanacoin.net
